CEREAL,ADVERTISED AS EXTRA HEALTHY,ADULTS/KIDS,COMMENTS,ESTIMATED,Cal/g,BOWL SIZE,Cereal in g,Skim Milk in g,Calories Cereal,Total calories,Cereal in g,Total Calories ,
Wegmans Bite Size Shredded Wheat,0,A,Mini Wheats,1,3.4,0,122,364,415,542,50,210,
Wegmans Blueberry Muffin Squares,0,A,Squares,1,4.3,0,46,171,198,258,30,169,
Wegmans Chocolaty Rice Crisps,0,C,Crispies,1,4.137931034,0,27,123,112,155,29,160,
Wegmans Cinnamon Oat Crisps,0,A,Squares,1,3.75,0,46,171,173,232,32,160,
Wegmans Cinnamon Squares,0,C,Squares,0,4.30,0,46,171,198,258,30,169,
Wegmans Corn Squares,0,A,Squares,1,4.30,0,46,171,198,258,32,178,
Wegmans Cornflakes,0,A,Flakes,0,3.57,0,25,157,89,144,28,140,
Wegmans Fiber Essentials,1,A,Sticks,1,2.00,1,109,386,218,353,30,100,
Wegmans Frosted Flakes,0,C,Flakes,1,3.870967742,0,25,157,97,152,31,160,
Wegmans Fruit and Frosted O's,0,A,Rings,1,4.193548387,0,20,127,84,128,31,170,
Wegmans Fruity Rice Crisps,0,C,Crispies,1,3.928571429,0,27,123,106,149,28,150,
Wegmans Graham Squares,0,A,Squares,1,4.30,0,97,427,417,567,30,169,
Wegmans Honey Nut Squares,0,A,Squares,1,3.75,0,97,427,364,513,32,160,
Wegmans Honey Wheels,0,A,Rings,1,3.793103448,0,20,127,76,120,29,150,
Wegmans Maple Pecan Crunch,1,A,Flakes,1,4.210526316,1,58,502,244,420,57,280,
Wegmans Marshmallow Treasures,0,C,Thingys,0,4,0,24,151,96,149,30,160,
Wegmans Mixed Berry Toasted Oats,0,A,Rings,1,4,0,20,127,80,124,30,160,
Wegmans Multigrain Toasted Cereal,0,A,Rings,1,3.793103448,0,20,127,76,120,29,150,
Wegmans Oat & Honey,1,A,Flakes,1,10,1,58,502,580,756,31,350,
Wegmans Organic Frosted Flakes,0,C,Flakes,1,3.548387097,0,25,157,89,144,31,150,
Wegmans Organic Honey Puffed Wheat,0,C,Puffs,1,4.07,0,24,101,98,133,31,166,
Wegmans Organic Toasted Oats,0,A,Rings,1,3.666666667,0,20,127,73,118,30,150,
Wegmans Oven Toasted Rice Cereal,0,A,Crispies,1,3.939393939,0,27,123,106,149,33,170,
Wegmans Peanut Butter  Corn Crunch,0,C,Balls,1,4.074074074,0,30,136,122,170,27,150,
Wegmans Raisin Bran,0,A,Flakes,1,3.220338983,0,25,157,81,135,59,230,
Wegmans Rice Squares,0,A,Squares,1,2.70,0,97,427,262,411,27,113,
Wegmans Wheat Puffs,0,A,Puffs,0,4.07,1,55,470,224,388,27,150,
Wegmans Wheat Squares,0,A,Squares,1,3.40,0,97,427,330,479,47,200,
